Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active,Serious Critical
World,"1,790,956","+11,213","109,664",+885,"409,568","1,271,724","50,545"
USA,"533,115",+236,"20,580 ",+3,"30,502","482,033","11,471"
Spain,"166,019","+2,992","16,972 ",+366,"62,391","86,656","7,371"
Italy,"152,271",,"19,468 ",,"32,534","100,269","3,381"
France,"129,654",,"13,832 ",,"26,391","89,431","6,883"
Germany,"125,452",,"2,871 ",,"57,400","65,181","4,895"
UK,"78,991",,"9,875 ",,344,"68,772","1,559"
Iran,"70,029",,"4,357 ",,"41,947","23,725","3,987"
Turkey,"52,167",,"1,101 ",,"2,965","48,101","1,626"
Belgium,"29,647","+1,629","3,600 ",+254,"6,463","19,584","1,223"
Switzerland,"25,300",+193,"1,036 ",,"12,100","12,164",386
Netherlands,"24,413",,"2,643 ",,250,"21,520","1,384"
Canada,"23,318",,653 ,,"6,428","16,237",557
Brazil,"20,964",+2,"1,141 ",+1,173,"19,650",296
Portugal,"15,987",,470 ,,266,"15,251",233
Russia,"15,770","+2,186",130 ,+24,"1,291","14,349",8
Austria,"13,945",+139,350 ,+13,"6,987","6,608",243
Israel,"10,878",+135,103 ,+2,"1,388","9,387",174
S. Korea,"10,512",+32,214 ,+3,"7,368","2,930",55
Sweden,"10,151",,887 ,,381,"8,883",789
Ireland,"8,928",,320 ,,25,"8,583",194
India,"8,504",+58,289 ,+1,972,"7,243",
Ecuador,"7,257",,315 ,,411,"6,531",184
Chile,"6,927",,73 ,,"1,864","4,990",383
Peru,"6,848",,181 ,,"1,739","4,928",142
Japan,"6,748",,108 ,,762,"5,878",117
Norway,"6,409",,119 ,,32,"6,258",67
Poland,"6,356",,208 ,,375,"5,773",160
Australia,"6,313",+10,59 ,+3,"3,338","2,916",81
Romania,"6,300",+310,306 ,+15,852,"5,142",204
Denmark,"5,996",,260 ,,"1,955","3,781",106
Czechia,"5,905",+3,132 ,+3,422,"5,351",87
Pakistan,"5,170",+159,88 ,+2,"1,026","4,056",37
Malaysia,"4,683",+153,76 ,+3,"2,108","2,499",66
Philippines,"4,648",+220,297 ,+50,197,"4,154",1
Indonesia,"4,241",+399,373 ,+46,359,"3,509",
Mexico,"4,219",+375,273 ,+40,"1,772","2,174",89
Saudi Arabia,"4,033",,52 ,,720,"3,261",67
UAE,"3,736",,20 ,,588,"3,128",1
Serbia,"3,380",,74 ,,118,"3,188",145
Luxembourg,"3,270",,62 ,,500,"2,708",30
Panama,"3,234",,79 ,,23,"3,132",104
Qatar,"2,979",+251,7 ,+1,275,"2,697",37
Finland,"2,974",+69,56 ,+7,300,"2,618",80
Ukraine,"2,777",+266,83 ,+10,89,"2,605",45
Dominican Republic,"2,759",,135 ,,108,"2,516",147
Colombia,"2,709",,100 ,,214,"2,395",92
Belarus,"2,578",+352,26 ,+3,203,"2,349",50
Thailand,"2,551",+33,38 ,+3,"1,218","1,295",61
Singapore,"2,299",,8 ,,528,"1,763",31
Argentina,"2,142",,89 ,,440,"1,613",115
Greece,"2,081",,93 ,,269,"1,719",75
South Africa,"2,028",,25 ,,410,"1,593",7
